"";"orgao";"uniorcam";"funcao";"subfuncao";"programa";"projativ";"rubrica";"recurso_vinculado";"contrapartida_recurso_vinculado";"numero_empenho";"credor";"caracteristica_peculiar";"complemento_recurso_vinculado";"ano_empenho";"cnpj";"data_base";"data_geracao";"entidade";"empenhado";"liquidado";"pago"
"88";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.74.00.00.000";"0001";"0000";"0202000003213";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";22275;22275;22275
"89";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.74.00.00.000";"0001";"0000";"0202000003588";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";22275;22275;22275
"90";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.74.00.00.000";"0001";"0000";"0202000004145";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";22275;22275;22275
"91";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.74.00.00.000";"0001";"0000";"0202000004611";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";22275;22275;22275
"92";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.74.00.00.000";"0001";"0000";"0202000005079";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";22275;22275;22275
"93";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.74.00.00.000";"0001";"0000";"0202000005619";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";24637,5;24637,5;24637,5
"94";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.74.00.00.000";"0001";"0000";"0202000006333";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";22275;22275;22275
"95";"02";"01";"04";"122";"0001";"02004";"3.1.90.13.02.01.00.000";"0001";"0000";"0202000002443";155;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";1826,8;1826,8;1826,8
"96";"02";"01";"04";"122";"0001";"02004";"3.1.90.13.02.01.00.000";"0001";"0000";"0202000005307";155;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";4984,88;4984,88;4984,88
"97";"02";"01";"04";"122";"0001";"02004";"3.1.90.13.02.03.00.000";"0001";"0000";"0202000000728";155;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";1717,19;1717,19;1717,19
